Order Priority,Discount offered,Unit Price,Freight Expenses,Freight Mode,Segment,Product Type,Product Sub-Category,Product Container,State,City,Region,Country,Order Date,Ship Date,Profit,QtyOrdered,Sales
Medium,0.0001,217.85,29.1,Delivery Truck,Stand Alone Restaurants,Preserved Food,Jams,Jumbo Box,Jammu And Kashmir,Srinagar,North,India,2010-01-22,2010-01-23,394.17,10,2273.1
High,0.07,30.98,5.76,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Tamil Nadu,Vellore,South,India,2010-01-23,2010-01-25,-28.798000000000002,11,343.79
High,0.01,14.42,6.75,Regular Air,Hotels / Hospitals,Processed Meat,Jelly Fish,Medium Box,West Bengal,Jhargram,East,India,2010-01-24,2010-01-24,-13.826,6,89.91
Critical,0.06,1.74,4.08,Regular Air,Hotels / Hospitals,Preserved Food,Marmalade,Small Pack,Maharashtra,Kalyan,West,India,2010-01-25,2010-01-26,-11.0732,1,2.77
Not Specified,0.1,125.99,8.99,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Small Box,Jharkhand,Giridih,North,India,2010-01-25,2010-01-28,17.652,4,408.66
High,0.08,150.98,13.99,Express Air,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Medium Box,Uttar Pradesh,Agra,North,India,2010-01-26,2010-01-27,-3.9479999999999995,8,1183.82
High,0.03,25.98,14.36,Delivery Truck,Hotels / Hospitals,Preserved Food,Sundried Tomatoes,Jumbo Drum,Uttar Pradesh,Basti,North,India,2010-01-26,2010-01-27,57.546,4,107.66
High,0.1,32.48,35.0,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Large Box,Uttar Pradesh,Basti,North,India,2010-01-26,2010-01-27,-333.4254,10,318.83
High,0.0001,6.88,2.0,Express Air,Restaurant Chain,Processed Meat,Smoked Salmon,Wrap Bag,Madhya Pradesh,Rewa,West,India,2010-01-28,2010-01-29,34.068000000000005,36,267.53
High,0.02,59.98,3.99,Regular Air,Hotels / Hospitals,Processed Meat,Jelly Fish,Small Box,Punjab,Jalandhar,West,India,2010-01-28,2010-02-06,-54.622,1,63.48
High,0.03,5.18,5.74,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Punjab,Jalandhar,West,India,2010-01-28,2010-02-01,-126.81418000000001,9,47.64
High,0.0001,6.88,2.0,Express Air,Restaurant Chain,Processed Meat,Smoked Salmon,Wrap Bag,Tamil Nadu,Perambalur,South,India,2010-01-28,2010-01-29,46.14719999999999,9,66.88
High,0.03,32.48,35.0,Express Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Large Box,Tamil Nadu,Perambalur,South,India,2010-01-28,2010-01-28,-1116.3348,8,274.91
High,0.06,55.48,14.3,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Kerala,Kozhikode,South,India,2010-01-28,2010-01-29,-28.2968,1,67.49
High,0.02,1.68,1.57,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,Kerala,Kozhikode,South,India,2010-01-28,2010-01-30,-5.3072,1,2.25
Critical,0.09,95.99,4.9,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Small Box,Bihar,Khagaria,North,India,2010-01-29,2010-01-31,34.302,4,320.75
High,0.0001,6.98,1.6,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,West Bengal,Howrah,East,India,2010-01-31,2010-02-02,-343.868,9,64.48
Critical,0.06,80.97,33.6,Delivery Truck,Personel Usage,Canned Foods,Sliced Pineapple,Jumbo Drum,Uttar Pradesh,Gonda,North,India,2010-02-01,2010-02-03,-15.1844,10,799.76
Not Specified,0.02,35.99,5.0,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Small Box,Tamil Nadu,Pollachi,South,India,2010-02-03,2010-02-05,-120.934,7,227.79
High,0.03,2.94,0.96,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Tamil Nadu,Tirunelveli,South,India,2010-02-04,2010-02-08,-4.2,1,3.51
High,0.0001,4.91,0.5,Regular Air,Hotels / Hospitals,Processed Meat,Oysters (Clam),Small Box,Uttar Pradesh,Kanpur,North,India,2010-02-04,2010-02-06,99.19800000000001,12,61.87
High,0.01,7.28,11.15,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Kanpur,North,India,2010-02-04,2010-02-05,136.0314,6,48.88
High,0.1,6.68,6.93,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Kanpur,North,India,2010-02-04,2010-02-07,-100.072,3,21.56
High,0.05,12.97,1.49,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Bihar,Gaya,North,India,2010-02-04,2010-02-06,5.465999999999999,2,26.37
High,0.06,5.81,3.37,Regular Air,Personel Usage,Processed Meat,Tuna,Wrap Bag,Bihar,Gaya,North,India,2010-02-04,2010-02-06,-149.1182,9,53.44
Medium,0.07,500.98,28.14,Delivery Truck,Stand Alone Restaurants,Canned Foods,Sliced Pineapple,Jumbo Drum,Gujarat,Vadodara,West,India,2010-02-05,2010-02-06,2699.9838,10,3913.02
High,0.1,178.47,19.99,Regular Air,Stand Alone Restaurants,Processed Meat,Fresh Water Eel,Small Box,Gujarat,Vadodara,West,India,2010-02-05,2010-02-07,-170.98,1,180.14
High,0.02,259.71,66.67,Delivery Truck,Restaurant Chain,Preserved Food,Jams,Jumbo Box,Haryana,Gurgaon,North,India,2010-02-06,2010-02-06,-14.448,8,1757.15
High,0.02,71.37,69.0,Regular Air,Stand Alone Restaurants,Preserved Food,Jams,Large Box,Uttar Pradesh,Mainpuri,North,India,2010-02-06,2010-02-07,-439.908,4,237.62
High,0.03,205.99,8.99,Express Air,Stand Alone Restaurants,Canned Foods,Quail Eggs,Small Box,Uttar Pradesh,Mainpuri,North,India,2010-02-06,2010-02-08,1087.716,1,176.42
High,0.04,19.98,8.68,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Robertsganj,North,India,2010-02-07,2010-02-14,108.0,8,168.04
Low,0.08,125.99,7.69,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Small Box,Uttar Pradesh,Robertsganj,North,India,2010-02-07,2010-02-09,377.154,7,703.46
High,0.07,30.56,2.99,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Bihar,Nawada,North,India,2010-02-07,2010-02-07,-95.61860000000001,12,364.92
Critical,0.01,13.99,7.51,Regular Air,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Medium Box,Assam,Tezpur,East,India,2010-02-10,2010-02-11,533.742,2,29.85
Critical,0.07,270.98,50.0,Delivery Truck,Hotels / Hospitals,Preserved Food,Sundried Tomatoes,Jumbo Drum,Rajasthan,Dausa,West,India,2010-02-11,2010-02-13,27.726,9,2439.37
High,0.1,7.28,5.47,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Tamil Nadu,Karur,South,India,2010-02-13,2010-02-13,167.334,12,83.14
Critical,0.09,348.21,40.19,Delivery Truck,Restaurant Chain,Preserved Food,Jams,Jumbo Box,Madhya Pradesh,Rewa,West,India,2010-02-14,2010-02-16,-93.84999999999991,8,2651.21
Not Specified,0.0001,236.97,59.24,Delivery Truck,Personel Usage,Preserved Food,Jams,Jumbo Box,Uttar Pradesh,Ghaziabad,North,India,2010-02-14,2010-02-15,1192.04,34,6686.34
Critical,0.09,348.21,40.19,Delivery Truck,Restaurant Chain,Preserved Food,Jams,Jumbo Box,Chhattisgarh,Raigarh,North,India,2010-02-14,2010-02-16,-93.84999999999991,2,662.8
High,0.05,6.04,2.14,Express Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,Tamil Nadu,Theni,South,India,2010-02-17,2010-02-19,-4.14,1,8.41
High,0.03,39.48,1.99,Regular Air,Personel Usage,Canned Foods,Assorted Fruits,Small Pack,Uttar Pradesh,Unnao,North,India,2010-02-19,2010-02-21,317.0895,12,459.55
High,0.05,4.28,5.17,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Small Box,Punjab,Sangrur,West,India,2010-02-19,2010-02-19,-104.57,9,38.58
High,0.03,4.06,6.89,Regular Air,Personel Usage,Processed Meat,Jelly Fish,Small Box,Bihar,Jhanjharpur,North,India,2010-02-20,2010-02-22,-246.27609999999999,37,159.89
High,0.01,3.75,0.5,Regular Air,Personel Usage,Processed Meat,Oysters (Clam),Small Box,Bihar,Jhanjharpur,North,India,2010-02-20,2010-02-21,55.194599999999994,48,180.48
High,0.02,10.68,13.04,Regular Air,Personel Usage,Preserved Food,Marmalade,Large Box,Bihar,Jhanjharpur,North,India,2010-02-20,2010-02-22,-307.29650000000004,31,350.48
High,0.05,19.23,6.15,Express Air,Hotels / Hospitals,Preserved Food,Marmalade,Small Pack,Kerala,Alleppey,South,India,2010-02-20,2010-02-22,-2133.2780000000002,6,119.78
Critical,0.02,49.99,19.99,Regular Air,Stand Alone Restaurants,Canned Foods,Assorted Fruits,Small Box,Uttar Pradesh,Baghpat,North,India,2010-02-21,2010-02-21,-76.89,18,901.81
Not Specified,0.0001,442.14,14.7,Delivery Truck,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Jumbo Drum,Madhya Pradesh,Shahdol,West,India,2010-02-22,2010-02-22,3294.8258999999994,10,4775.11
High,0.01,20.98,53.03,Delivery Truck,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Jumbo Drum,Chhattisgarh,Rajnandgaon,North,India,2010-02-23,2010-02-23,-282.0818,5,123.0
Low,0.1,50.98,22.24,Regular Air,Hotels / Hospitals,Preserved Food,Marmalade,Large Box,Haryana,Rohtak,North,India,2010-02-25,2010-02-27,98.12,6,300.63
Critical,0.09,35.99,5.99,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Wrap Bag,Himachal Pradesh,Shimla,North,India,2010-02-26,2010-02-27,114.3165,5,151.6
High,0.1,3.6,2.2,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Wrap Bag,Kerala,Kottayam,South,India,2010-02-26,2010-02-27,-8.28,2,6.97
Critical,0.03,11.99,5.99,Regular Air,Restaurant Chain,Canned Foods,Sliced Pineapple,Medium Box,Madhya Pradesh,Jabalpur,West,India,2010-02-27,2010-02-28,-216.02980000000002,7,83.72
High,0.1,120.98,9.07,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Bihar,Araria,North,India,2010-02-28,2010-03-09,379.3965,5,549.85
Low,0.08,8.32,2.38,Express Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Pack,Bihar,Araria,North,India,2010-02-28,2010-03-04,-41.83,6,48.99
Low,0.1,125.99,4.2,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,Bihar,Araria,North,India,2010-02-28,2010-02-28,372.402,7,681.42
High,0.07,40.98,7.47,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Uttar Pradesh,Ghaziabad,North,India,2010-03-01,2010-03-02,54.901500000000006,8,327.61
Not Specified,0.0001,8.33,1.99,Express Air,Personel Usage,Canned Foods,Assorted Fruits,Small Pack,Uttar Pradesh,Ghaziabad,North,India,2010-03-02,2010-03-04,82.31,47,421.08
High,0.0001,3.69,0.5,Regular Air,Stand Alone Restaurants,Processed Meat,Oysters (Clam),Small Box,Uttar Pradesh,Aligarh,North,India,2010-03-02,2010-03-04,-37.5291,1,4.0
Not Specified,0.02,175.99,4.99,Express Air,Stand Alone Restaurants,Canned Foods,Quail Eggs,Small Box,Uttar Pradesh,Aligarh,North,India,2010-03-02,2010-03-02,101.49,4,589.8
Critical,0.05,107.53,5.81,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Medium Box,West Bengal,Arambagh,East,India,2010-03-05,2010-03-06,-89.418,6,612.92
Low,0.08,296.18,54.12,Delivery Truck,Restaurant Chain,Preserved Food,Jams,Jumbo Box,Maharashtra,Palghar,West,India,2010-03-05,2010-03-12,-187.22199999999998,5,1429.81
Low,0.08,230.98,23.78,Delivery Truck,Personel Usage,Preserved Food,Jams,Jumbo Box,Assam,Dhubri,East,India,2010-03-06,2010-03-10,501.69,4,924.8
High,0.01,7.64,1.39,Express Air,Hotels / Hospitals,Processed Meat,Caviar,Small Box,Telangana,Adilabad,South,India,2010-03-09,2010-03-13,-1676.6119999999999,9,73.29
Low,0.07,400.97,48.26,Delivery Truck,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Jumbo Box,Telangana,Adilabad,South,India,2010-03-09,2010-03-13,45.12779999999999,8,2961.32
Medium,0.01,99.99,19.99,Express Air,Restaurant Chain,Canned Foods,Sliced Pineapple,Small Box,Uttar Pradesh,Machhlishahr,North,India,2010-03-10,2010-03-12,90.024,2,202.98
High,0.1,4.98,7.54,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Shahjahanpur,North,India,2010-03-10,2010-03-11,45.077999999999996,9,43.84
High,0.0001,22.84,8.18,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Shahjahanpur,North,India,2010-03-10,2010-03-12,-110.376,6,141.74
Critical,0.09,154.13,69.0,Express Air,Hotels / Hospitals,Preserved Food,Jams,Large Box,Madhya Pradesh,Rewa,West,India,2010-03-14,2010-03-15,-1763.7477000000003,38,5679.59
Medium,0.07,200.98,23.76,Delivery Truck,Hotels / Hospitals,Preserved Food,Sundried Tomatoes,Jumbo Drum,Rajasthan,Alwar,West,India,2010-03-14,2010-03-15,-132.42600000000002,9,1805.9
Medium,0.02,179.29,29.21,Delivery Truck,Hotels / Hospitals,Preserved Food,Jams,Jumbo Box,Rajasthan,Alwar,West,India,2010-03-14,2010-03-14,-411.236,2,311.41
Not Specified,0.02,200.98,55.96,Delivery Truck,Stand Alone Restaurants,Preserved Food,Pickle,Jumbo Box,Maharashtra,Raver,West,India,2010-03-14,2010-03-16,-224.94779999999997,11,2331.9
High,0.02,4.28,5.17,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Small Box,Maharashtra,Raver,West,India,2010-03-14,2010-03-15,196.79999999999998,6,27.47
Not Specified,0.03,14.2,5.3,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Wrap Bag,Tamil Nadu,Tiruvallur,South,India,2010-03-15,2010-03-17,21.5556,2,31.24
Medium,0.01,220.98,64.66,Delivery Truck,Hotels / Hospitals,Preserved Food,Pickle,Jumbo Box,Bihar,Hajipur,North,India,2010-03-18,2010-03-19,1049.03,11,2591.09
High,0.07,28.99,8.59,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Medium Box,Bihar,Jhanjharpur,North,India,2010-03-19,2010-03-19,-16.063740000000003,39,936.8
Low,0.06,160.98,35.02,Delivery Truck,Personel Usage,Preserved Food,Pickle,Jumbo Box,Uttar Pradesh,Ghaziabad,North,India,2010-03-20,2010-03-24,-229.68,30,4620.05
Low,0.06,160.98,35.02,Delivery Truck,Personel Usage,Preserved Food,Pickle,Jumbo Box,Uttar Pradesh,Chandauli,North,India,2010-03-20,2010-03-24,-229.68,8,1232.01
High,0.02,13.48,4.51,Regular Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Small Box,Maharashtra,Shirdi,West,India,2010-03-21,2010-03-23,34.52,9,127.12
High,0.09,6.48,6.35,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Nagina,North,India,2010-03-21,2010-03-22,-88.6,8,49.81
Medium,0.0001,6783.02,24.49,Regular Air,Personel Usage,Canned Foods,Sliced Pineapple,Large Box,Maharashtra,Akola,West,India,2010-03-21,2010-03-22,4.109999999999999,3,20552.55
Not Specified,0.02,55.94,6.55,Regular Air,Personel Usage,Canned Foods,Assorted Fruits,Small Box,Madhya Pradesh,Vidisha,West,India,2010-03-21,2010-03-23,401.85,11,646.88
High,0.02,48.04,5.09,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Madhya Pradesh,Rewa,West,India,2010-03-22,2010-03-26,373.67,18,881.32
High,0.05,11.97,5.81,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Small Pack,Maharashtra,Solapur,West,India,2010-03-23,2010-03-25,349.0593,2,25.31
Low,0.08,9.48,7.29,Regular Air,Stand Alone Restaurants,Preserved Food,Marmalade,Small Pack,Madhya Pradesh,Gwalior,West,India,2010-03-24,2010-03-26,-50.4,2,20.22
High,0.03,193.17,19.99,Regular Air,Stand Alone Restaurants,Processed Meat,Fresh Water Eel,Small Box,Madhya Pradesh,Gwalior,West,India,2010-03-24,2010-03-28,-348.754,8,1548.97
Low,0.02,500.98,41.44,Delivery Truck,Stand Alone Restaurants,Preserved Food,Pickle,Jumbo Box,Uttar Pradesh,Shahjahanpur,North,India,2010-03-25,2010-03-25,2568.4628999999995,7,3722.41
High,0.01,18.97,9.03,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Mirzapur,North,India,2010-03-25,2010-03-25,-12.026699999999998,8,164.67
High,0.03,12.28,4.86,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Mirzapur,North,India,2010-03-25,2010-03-26,122.508,6,72.74
High,0.05,34.99,7.73,Express Air,Hotels / Hospitals,Processed Meat,Foie Gras,Small Box,Uttar Pradesh,Mirzapur,North,India,2010-03-25,2010-03-27,-12.026699999999998,12,418.75
High,0.08,6.68,1.5,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,Orissa,Bhubaneshwar,East,India,2010-03-26,2010-03-28,-601.8040000000001,10,66.12
High,0.07,225.04,11.79,Regular Air,Personel Usage,Processed Meat,Jelly Fish,Medium Box,Tamil Nadu,Madurai,South,India,2010-03-26,2010-03-26,-162.918,5,1130.15
High,0.03,7.84,4.71,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Tamil Nadu,Madurai,South,India,2010-03-26,2010-03-29,859.7177999999999,7,54.37
High,0.1,5.18,5.74,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Gujarat,Patan,West,India,2010-03-26,2010-03-28,-29.003,2,10.96
High,0.09,20.89,11.52,Regular Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Small Box,Karnataka,Belgaum,South,India,2010-03-26,2010-03-27,-133.546,7,146.5
Medium,0.06,8.12,2.83,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Pack,Uttar Pradesh,Ghaziabad,North,India,2010-03-27,2010-03-28,-82.83,41,322.03
Medium,0.05,51.65,18.45,Regular Air,Hotels / Hospitals,Preserved Food,Marmalade,Medium Box,Uttar Pradesh,Ghaziabad,North,India,2010-03-27,2010-03-28,25.04,49,2470.84
Medium,0.1,175.99,8.99,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,Uttar Pradesh,Ghaziabad,North,India,2010-03-27,2010-03-28,930.9870000000001,39,5250.66
High,0.07,8.95,2.01,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,Madhya Pradesh,Rewa,West,India,2010-03-27,2010-03-28,91.73,36,307.65
Medium,0.08,18.7,8.99,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Small Pack,Orissa,Dhenkanal,East,India,2010-03-27,2010-03-28,16.136400000000002,7,132.23
Low,0.1,15.98,4.0,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Tamil Nadu,Theni,South,India,2010-03-27,2010-04-01,92.72219999999999,9,134.38
High,0.05,6.68,6.93,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Small Box,Orissa,Jajapur,East,India,2010-03-28,2010-03-29,-2.3520000000000096,11,77.2
High,0.04,5.34,2.99,Regular Air,Restaurant Chain,Processed Meat,Bacon,Small Box,Madhya Pradesh,Rewa,West,India,2010-03-30,2010-04-01,3.4509999999999996,45,240.6
Medium,0.06,55.99,5.0,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Small Pack,Madhya Pradesh,Rewa,West,India,2010-03-30,2010-04-01,-275.253,5,236.88
High,0.0001,4.91,5.68,Regular Air,Restaurant Chain,Processed Meat,Bacon,Small Box,Bihar,Sheohar,North,India,2010-03-30,2010-03-31,-95.0475,9,48.3
